"nome_name_do_brasil","minuscula_sem_acento","maiuscula_sem_acento","first_sem_acento","minuscula_com_acento","maiuscula_com_acento","first_com_acento"
"AGUILHERA","aguilhera","AGUILHERA","Aguilhera","aguilhera","AGUILHERA","Aguilhera"
"AGUIMAR","aguimar","AGUIMAR","Aguimar","aguimar","AGUIMAR","Aguimar"
"AGUINALDO","aguinaldo","AGUINALDO","Aguinaldo","aguinaldo","AGUINALDO","Aguinaldo"
"AGUIRRE","aguirre","AGUIRRE","Aguirre","aguirre","AGUIRRE","Aguirre"
"AGUSTINHO","agustinho","AGUSTINHO","Agustinho","agustinho","AGUSTINHO","Agustinho"
"AGUSTO","agusto","AGUSTO","Agusto","agusto","AGUSTO","Agusto"
"AGUUAR","aguuar","AGUUAR","Aguuar","aguuar","AGUUAR","Aguuar"
"AGUZZI","aguzzi","AGUZZI","Aguzzi","aguzzi","AGUZZI","Aguzzi"
"AHI","ahi","AHI","Ahi","ahi","AHI","Ahi"
"AHLERT","ahlert","AHLERT","Ahlert","ahlert","AHLERT","Ahlert"
"AHMAD","ahmad","AHMAD","Ahmad","ahmad","AHMAD","Ahmad"
"AIANE","aiane","AIANE","Aiane","aiane","AIANE","Aiane"
"AIDA","aida","AIDA","Aida","aida","AIDA","Aida"
"AIDÉ","aide","AIDE","Aide","aidé","AIDÉ","Aidé"
"AIELLO","aiello","AIELLO","Aiello","aiello","AIELLO","Aiello"
"AIELO","aielo","AIELO","Aielo","aielo","AIELO","Aielo"
"AIKA","aika","AIKA","Aika","aika","AIKA","Aika"
"AIKIN","aikin","AIKIN","Aikin","aikin","AIKIN","Aikin"
"AILA","aila","AILA","Aila","aila","AILA","Aila"
"AILANA","ailana","AILANA","Ailana","ailana","AILANA","Ailana"
"AILINE","ailine","AILINE","Ailine","ailine","AILINE","Ailine"
"AILTON","ailton","AILTON","Ailton","ailton","AILTON","Ailton"
"AINA","aina","AINA","Aina","aina","AINA","Aina"
"AINOA","ainoa","AINOA","Ainoa","ainoa","AINOA","Ainoa"
"AIONE","aione","AIONE","Aione","aione","AIONE","Aione"
"AIRES","aires","AIRES","Aires","aires","AIRES","Aires"
"AIRTON","airton","AIRTON","Airton","airton","AIRTON","Airton"
"AISHA","aisha","AISHA","Aisha","aisha","AISHA","Aisha"
"AISLAN","aislan","AISLAN","Aislan","aislan","AISLAN","Aislan"
"AISLENE","aislene","AISLENE","Aislene","aislene","AISLENE","Aislene"
"AISSA","aissa","AISSA","Aissa","aissa","AISSA","Aissa"
"AIVES","aives","AIVES","Aives","aives","AIVES","Aives"
